Temperature (C),R1,R2,R3
207.00,-0.92,-0.85,-1.11
208.00,-0.77,-0.90,-0.87
209.00,-0.89,-0.75,-1.08
210.00,-0.77,-0.90,-1.11
211.00,-0.78,-0.97,-1.04
212.00,-0.80,-0.97,-0.91
213.00,-0.59,-1.01,-1.31
214.00,-0.80,-1.03,-1.02
215.00,-0.81,-1.10,-1.23
216.00,-0.83,-1.05,-1.30
217.00,-0.85,-1.02,-1.25
218.00,-0.95,-1.15,-1.20
219.00,-0.84,-1.11,-1.21
220.00,-0.77,-0.87,-1.37
221.00,-0.68,-1.05,-1.14
222.00,-0.70,-0.91,-1.29
223.00,-0.91,-0.88,-1.18
224.00,-0.65,-1.07,-1.03
225.00,-0.87,-0.88,-1.02
226.00,-0.92,-1.03,-0.92
227.00,-0.91,-1.02,-1.03
228.00,-0.93,-1.04,-1.12
229.00,-0.93,-0.99,-0.88
230.00,-0.86,-1.19,-1.01
231.00,-0.93,-1.04,-1.07
232.00,-1.07,-1.18,-1.14
233.00,-0.89,-1.30,-0.99
234.00,-0.97,-1.08,-1.30
235.00,-0.95,-1.17,-1.24
236.00,-1.01,-1.26,-1.11
237.00,-1.06,-1.30,-1.20
238.00,-1.25,-1.14,-1.29
239.00,-1.12,-1.16,-1.41
240.00,-1.15,-1.14,-1.27
241.00,-1.08,-1.08,-1.32
242.00,-1.19,-1.27,-1.27
243.00,-1.14,-1.12,-1.21
244.00,-1.10,-1.21,-1.35
245.00,-1.32,-1.25,-1.45
246.00,-1.21,-1.28,-1.39
247.00,-1.32,-1.34,-1.14
248.00,-1.39,-1.21,-1.37
249.00,-1.25,-1.27,-1.23
250.00,-1.15,-1.25,-1.54
251.00,-0.95,-1.36,-1.46
252.00,-1.08,-1.32,-1.35
253.00,-1.03,-1.33,-1.45
254.00,-1.09,-1.28,-1.24
255.00,-1.11,-1.35,-1.14
256.00,-1.17,-1.27,-1.31
257.00,-1.25,-1.38,-1.22
258.00,-1.03,-1.49,-1.44
259.00,-1.17,-1.48,-1.36
260.00,-1.11,-1.39,-1.56
261.00,-1.04,-1.41,-1.39
262.00,-1.15,-1.45,-1.46
263.00,-1.26,-1.42,-1.50
264.00,-1.11,-1.37,-1.58
265.00,-0.99,-1.35,-1.58
266.00,-1.09,-1.31,-1.58
267.00,-1.07,-1.16,-1.73
268.00,-0.97,-1.42,-1.66
269.00,-1.04,-1.29,-1.71
270.00,-1.14,-1.25,-1.76
271.00,-1.28,-1.08,-1.87
272.00,-1.32,-1.26,-1.81
273.00,-1.32,-1.26,-1.79
274.00,-1.10,-1.26,-1.92
275.00,-1.29,-1.27,-1.96
276.00,-1.14,-1.17,-1.69
277.00,-0.92,-1.33,-1.61
278.00,-0.97,-1.40,-1.75
279.00,-0.80,-1.29,-1.81
280.00,-1.00,-1.32,-1.94
281.00,-0.98,-1.44,-1.76
282.00,-1.17,-1.34,-1.77
283.00,-1.21,-1.40,-1.77
284.00,-1.25,-1.48,-1.81
285.00,-1.28,-1.50,-1.97
286.00,-1.19,-1.46,-1.79
287.00,-1.34,-1.39,-1.69
288.00,-1.27,-1.36,-1.74
289.00,-1.30,-1.23,-1.70
290.00,-1.34,-1.23,-1.68
291.00,-1.24,-1.36,-1.67
292.00,-1.33,-1.37,-1.83
293.00,-1.35,-1.40,-1.97
294.00,-1.44,-1.60,-1.82
295.00,-1.22,-1.34,-1.99
296.00,-1.28,-1.33,-1.98
297.00,-1.36,-1.37,-1.98
298.00,-1.21,-1.37,-1.95
299.00,-1.43,-1.58,-1.98
300.00,-1.54,-1.44,-1.94
301.00,-1.42,-1.37,-1.98
302.00,-1.38,-1.43,-2.00
303.00,-1.53,-1.58,-2.08
304.00,-1.73,-1.38,-1.92
305.00,-1.48,-1.60,-1.93
306.00,-1.49,-1.54,-1.93
307.00,-1.53,-1.46,-1.88
308.00,-1.47,-1.30,-1.89
309.00,-1.39,-1.51,-1.95
310.00,-1.41,-1.62,-1.72
311.00,-1.36,-1.52,-1.85
312.00,-1.34,-1.49,-1.96
313.00,-1.42,-1.64,-2.03
314.00,-1.41,-1.56,-1.85
315.00,-1.39,-1.53,-1.80
316.00,-1.47,-1.51,-1.91
317.00,-1.47,-1.52,-1.85
318.00,-1.45,-1.44,-1.89
319.00,-1.32,-1.46,-2.00
320.00,-1.41,-1.51,-2.05
321.00,-1.44,-1.54,-1.98
322.00,-1.51,-1.60,-1.90
323.00,-1.57,-1.71,-1.85
324.00,-1.70,-1.69,-1.76
325.00,-1.65,-1.63,-1.80
326.00,-1.68,-1.79,-1.70
327.00,-1.73,-1.89,-1.87
328.00,-1.60,-1.78,-1.82
329.00,-1.69,-1.60,-1.80
330.00,-1.46,-1.69,-1.72
331.00,-1.56,-1.66,-1.86
332.00,-1.56,-1.68,-1.97
333.00,-1.68,-1.58,-1.96
334.00,-1.59,-1.68,-1.83
335.00,-1.65,-1.79,-1.77
336.00,-1.69,-1.55,-1.98
337.00,-1.62,-1.59,-1.96
338.00,-1.48,-1.66,-1.91
339.00,-1.65,-1.58,-1.73
340.00,-1.60,-1.58,-1.87
341.00,-1.59,-1.52,-1.78
342.00,-1.52,-1.59,-1.95
343.00,-1.54,-1.65,-2.00
344.00,-1.48,-1.48,-1.99
345.00,-1.44,-1.44,-1.91
346.00,-1.45,-1.51,-1.87
347.00,-1.44,-1.52,-1.98
348.00,-1.27,-1.44,-1.86
349.00,-1.49,-1.55,-2.07
350.00,-1.55,-1.52,-1.84
351.00,-1.49,-1.67,-1.96
352.00,-1.40,-1.69,-2.12
353.00,-1.30,-1.62,-2.03
354.00,-1.50,-1.64,-2.12
355.00,-1.34,-1.91,-2.04
356.00,-1.22,-1.65,-2.06
357.00,-1.57,-1.77,-2.10
358.00,-1.39,-1.79,-1.90
359.00,-1.43,-1.88,-2.13
360.00,-1.32,-1.70,-1.97
361.00,-1.33,-1.62,-1.94
362.00,-1.32,-1.62,-1.90
363.00,-1.40,-1.81,-2.07
364.00,-1.24,-1.78,-2.09
365.00,-1.23,-1.67,-2.07
366.00,-1.31,-1.70,-1.85
367.00,-1.20,-1.58,-1.96
368.00,-0.98,-1.73,-2.00
369.00,-1.03,-1.57,-1.80
370.00,-1.05,-1.54,-2.01
371.00,-0.88,-1.57,-1.99
372.00,-1.04,-1.58,-1.93
373.00,-1.11,-1.50,-1.94
374.00,-1.00,-1.50,-1.84
375.00,-1.11,-1.42,-1.73
376.00,-0.92,-1.50,-1.81
377.00,-0.87,-1.62,-1.75
378.00,-0.85,-1.56,-1.79
379.00,-1.02,-1.42,-1.79
380.00,-1.03,-1.46,-1.84
381.00,-0.86,-1.50,-1.76
382.00,-0.96,-1.47,-1.76
383.00,-0.97,-1.57,-1.83
384.00,-0.87,-1.32,-1.83
385.00,-0.86,-1.40,-1.69
386.00,-0.69,-1.46,-1.63
387.00,-0.68,-1.35,-1.61
388.00,-0.59,-1.17,-1.64
389.00,-0.42,-1.24,-1.73
390.00,-0.45,-1.36,-1.66
391.00,-0.43,-1.15,-1.43
392.00,-0.48,-1.13,-1.40
393.00,-0.37,-1.15,-1.40
394.00,-0.29,-0.97,-1.21
395.00,-0.32,-1.16,-1.07
396.00,-0.00,-0.83,-1.09
397.00,-0.03,-0.84,-0.95
398.00,-0.18,-0.81,-0.79
399.00,-0.03,-0.71,-0.89
400.00,0.01,-0.67,-0.74
401.00,0.19,-0.49,-0.78
402.00,0.24,-0.49,-0.67
403.00,0.47,-0.44,-0.53
404.00,0.71,-0.58,-0.31
405.00,0.60,-0.39,-0.33
406.00,0.73,-0.18,-0.09
407.00,0.77,-0.26,0.01
408.00,0.95,-0.13,0.07
409.00,1.21,-0.02,0.13
410.00,1.29,0.10,0.39
411.00,1.51,0.25,0.44
412.00,1.82,0.27,0.62
413.00,2.03,0.32,0.76
414.00,2.10,0.71,0.91
415.00,2.44,0.96,1.11
416.00,2.57,0.93,1.43
417.00,2.82,1.35,1.61
418.00,3.23,1.29,2.00
419.00,3.52,1.64,2.34
420.00,3.97,1.83,2.71
421.00,4.16,2.03,2.93
422.00,4.47,2.26,3.33
423.00,4.76,2.38,3.81
424.00,5.06,2.98,4.29
425.00,5.27,3.02,4.77
426.00,5.52,3.46,5.18
427.00,5.89,3.73,5.88
428.00,6.21,4.04,6.62
429.00,6.56,4.44,7.57
430.00,6.92,4.84,8.35
431.00,7.41,5.32,9.40
432.00,8.06,5.75,10.01
433.00,8.96,6.46,10.85
434.00,9.41,7.07,11.65
435.00,10.20,7.48,12.66
436.00,11.24,8.34,13.65
437.00,12.07,9.08,14.49
438.00,13.00,10.60,15.32
439.00,13.87,11.87,16.38
440.00,14.86,13.02,17.40
441.00,15.73,14.27,18.37
442.00,17.31,15.48,20.08
443.00,18.45,16.41,21.35
444.00,19.80,17.95,22.91
445.00,21.13,19.06,24.40
446.00,22.51,19.97,25.95
447.00,23.99,21.37,28.07
448.00,25.67,22.92,30.02
449.00,27.24,24.79,32.19
450.00,29.07,26.73,34.67
451.00,31.55,28.86,37.46
452.00,33.80,31.14,40.25
453.00,36.07,33.56,43.35
454.00,38.73,36.60,46.78
455.00,41.67,38.73,50.64
456.00,44.90,41.84,54.94
457.00,48.14,46.01,59.81
458.00,53.10,48.73,65.03
459.00,57.62,52.96,71.25
460.00,62.77,58.18,78.89
461.00,68.99,63.39,86.87
462.00,76.03,69.50,95.22
463.00,83.59,76.83,102.18
464.00,91.99,87.07,112.49
465.00,100.93,96.07,122.92
466.00,110.87,105.81,133.57
467.00,120.65,115.65,144.36
468.00,130.95,125.88,155.89
469.00,141.91,136.36,168.94
470.00,153.23,147.33,183.15
471.00,165.17,159.30,198.75
472.00,178.73,173.28,215.25
473.00,193.23,187.93,228.89
474.00,208.80,203.23,247.97
475.00,225.16,220.08,267.88
476.00,238.18,237.65,287.55
477.00,256.80,255.85,308.25
478.00,275.38,274.35,330.59
479.00,295.10,293.72,354.67
480.00,316.61,320.89,380.38
481.00,333.81,343.67,406.86
482.00,358.00,368.76,434.64
483.00,383.36,394.44,464.74
484.00,410.41,421.48,495.58
485.00,439.22,449.13,526.12
486.00,461.29,477.35,556.15
487.00,491.32,506.11,578.78
488.00,522.94,541.39,617.67
489.00,555.10,569.95,647.00
490.00,586.49,598.02,665.24
491.00,616.87,623.87,687.89
492.00,646.67,647.58,711.97
493.00,672.87,673.78,737.28
494.00,695.01,703.15,752.65
495.00,710.88,725.91,752.67
496.00,733.60,732.88,742.69
497.00,752.15,728.65,721.94
498.00,752.44,715.64,692.18
499.00,738.55,692.18,654.72
500.00,716.75,660.64,608.46
501.00,687.33,634.75,568.50
502.00,651.47,596.21,510.38
503.00,607.46,549.53,449.19
504.00,569.96,495.43,387.61
505.00,514.12,436.84,341.81
506.00,453.94,391.50,283.77
507.00,391.24,331.68,230.87
508.00,329.94,274.99,195.07
509.00,272.32,235.83,153.61
510.00,232.79,188.91,118.74
511.00,185.21,148.41,96.36
512.00,144.90,114.41,71.96
513.00,111.61,86.49,52.61
514.00,84.20,69.59,37.84
515.00,62.79,50.88,26.65
516.00,46.05,36.57,20.25
517.00,33.46,25.60,13.57
518.00,23.73,17.56,8.98
519.00,16.69,13.06,5.84
520.00,11.52,8.76,3.63
521.00,7.84,5.62,2.20
522.00,5.27,3.57,1.21
523.00,3.68,2.00,0.44
524.00,2.70,1.17,0.02
525.00,1.76,0.31,-0.46
526.00,1.01,-0.15,-0.87
527.00,0.63,-0.30,-1.10
528.00,0.24,-0.73,-1.27
529.00,0.12,-0.96,-1.41
530.00,-0.09,-1.20,-1.55
531.00,-0.43,-1.35,-1.48
532.00,-0.42,-1.30,-1.69
533.00,-0.61,-1.43,-1.51
534.00,-0.61,-1.56,-1.66
535.00,-0.80,-1.78,-1.68
536.00,-0.60,-1.44,-1.75
537.00,-0.73,-1.66,-1.64
538.00,-0.68,-1.73,-1.72
539.00,-0.60,-1.84,-1.84
540.00,-0.60,-1.96,-2.07
541.00,-0.76,-2.14,-1.84
542.00,-0.60,-1.88,-2.13
543.00,-0.56,-2.17,-2.10
544.00,-0.68,-2.09,-2.07
545.00,-0.61,-2.03,-2.26
546.00,-0.65,-2.07,-2.30
547.00,-0.73,-2.04,-2.06
548.00,-0.85,-2.24,-1.98
549.00,-0.75,-2.17,-2.04
550.00,-0.88,-1.94,-2.03
551.00,-0.97,-1.90,-2.14
552.00,-0.84,-2.02,-2.30
553.00,-0.99,-2.15,-2.12
554.00,-0.97,-1.92,-2.13
555.00,-0.82,-2.13,-2.16
556.00,-0.97,-2.35,-2.17
557.00,-0.86,-2.17,-2.16
558.00,-1.12,-1.96,-2.35
559.00,-1.09,-1.90,-2.23
560.00,-1.07,-2.14,-2.40
561.00,-1.05,-1.89,-2.26
562.00,-1.09,-1.84,-2.35
563.00,-1.15,-1.82,-2.23
564.00,-1.06,-2.23,-2.18
565.00,-1.09,-2.21,-2.17
566.00,-1.08,-2.15,-2.29
567.00,-0.98,-2.08,-2.31
568.00,-0.99,-2.15,-2.34
569.00,-1.11,-2.36,-2.18
570.00,-0.84,-2.47,-2.29
571.00,-0.87,-2.54,-2.28
572.00,-1.01,-2.35,-2.26
573.00,-1.07,-2.16,-2.11
574.00,-1.10,-2.28,-2.07
575.00,-1.13,-2.06,-2.21
576.00,-0.92,-2.22,-2.23
577.00,-1.09,-2.24,-2.36
578.00,-0.98,-2.33,-2.40
579.00,-1.20,-2.14,-2.21
580.00,-1.04,-2.06,-2.46
581.00,-1.23,-2.16,-2.32
582.00,-1.14,-2.11,-2.13
583.00,-1.27,-2.33,-2.33
584.00,-1.06,-1.96,-2.27
585.00,-1.15,-2.49,-2.29
586.00,-1.16,-2.16,-2.29
587.00,-1.28,-1.88,-2.26
588.00,-1.15,-2.30,-2.28
589.00,-1.27,-2.40,-2.34
590.00,-1.28,-2.14,-2.44
591.00,-1.12,-2.46,-2.37
592.00,-1.36,-2.35,-2.28
593.00,-1.32,-2.21,-2.49
594.00,-1.36,-2.25,-2.40
595.00,-1.12,-2.50,-2.59
596.00,-1.42,-2.34,-2.39
597.00,-1.17,-2.28,-2.24
598.00,-1.34,-2.80,-2.30
599.00,-1.30,-2.24,-2.42
600.00,-1.31,-2.47,-2.28
601.00,-1.23,-2.42,-2.14
602.00,-1.15,-2.32,-2.25
603.00,-1.01,-2.22,-2.26
604.00,-1.30,-2.19,-2.19
605.00,-1.50,-2.20,-2.31
606.00,-1.41,-2.18,-2.19
607.00,-1.37,-2.36,-2.31
608.00,-1.40,-2.35,-2.28
609.00,-1.12,-2.52,-2.34
610.00,-1.26,-2.45,-2.34
611.00,-1.16,-2.32,-2.38
612.00,-1.11,-2.12,-2.51
613.00,-0.85,-2.16,-2.32
614.00,-1.00,-2.20,-2.23
615.00,-1.03,-2.22,-2.46
616.00,-1.07,-2.06,-2.30
617.00,-1.18,-2.04,-2.19
618.00,-0.97,-2.01,-2.26
619.00,-0.98,-2.14,-2.29
620.00,-1.00,-2.22,-2.26
621.00,-1.05,-2.30,-2.27
622.00,-1.01,-2.10,-2.30
623.00,-1.17,-1.99,-2.27
624.00,-1.21,-2.11,-2.18
625.00,-1.14,-2.23,-2.01
626.00,-1.26,-2.13,-2.09
627.00,-1.19,-1.99,-1.99
628.00,-1.21,-1.99,-2.11
629.00,-1.27,-1.90,-2.20
630.00,-1.28,-2.07,-2.14
631.00,-1.28,-2.11,-2.10
632.00,-1.29,-1.94,-2.07
633.00,-1.18,-2.12,-2.08
634.00,-1.10,-1.86,-1.93
635.00,-1.12,-2.13,-2.00
636.00,-1.02,-2.01,-1.97
637.00,-0.99,-2.05,-2.10
638.00,-1.42,-2.05,-1.92
639.00,-1.21,-1.70,-2.02
640.00,-0.89,-1.99,-1.87
641.00,-1.46,-1.78,-2.05
642.00,-1.12,-1.57,-2.10
643.00,-0.98,-1.69,-1.95
644.00,-1.16,-1.85,-2.22
645.00,-1.02,-1.58,-2.11
646.00,-0.94,-1.57,-2.00
647.00,-1.07,-1.49,-1.74
648.00,-0.90,-1.48,-1.84
649.00,-1.03,-1.47,-1.93
650.00,-0.94,-1.40,-1.88
651.00,-1.53,-1.69,-1.64
652.00,-1.22,-1.68,-1.46
653.00,-0.95,-1.62,-1.51
654.00,-0.78,-1.56,-1.68
655.00,-0.82,-1.36,-1.67
656.00,-0.76,-1.47,-1.52
657.00,-0.64,-1.64,-1.52
658.00,-1.14,-1.68,-1.52
659.00,-1.11,-1.45,-1.62
660.00,-0.91,-1.70,-1.54
661.00,-0.79,-1.32,-1.23
662.00,-0.70,-1.33,-1.28
663.00,-0.92,-1.23,-1.27
664.00,-0.85,-1.23,-1.51
665.00,-0.66,-1.24,-1.45
666.00,-0.77,-1.06,-1.41
667.00,-0.90,-1.26,-1.47
668.00,-0.83,-1.10,-1.19
669.00,-0.82,-1.11,-1.25
670.00,-0.83,-1.03,-1.19
671.00,-0.55,-0.95,-1.22
672.00,-0.62,-1.12,-1.28
673.00,-0.67,-1.04,-1.40
674.00,-0.78,-1.08,-1.28
675.00,-0.49,-0.79,-1.35
676.00,-0.38,-0.82,-1.13
677.00,-0.58,-0.86,-1.08
678.00,-0.58,-0.92,-0.96
679.00,-0.58,-0.75,-0.70
680.00,-0.66,-0.77,-0.78
681.00,-0.59,-0.76,-0.71
682.00,-0.44,-0.70,-0.69
683.00,-0.40,-0.66,-0.56
684.00,-0.28,-0.53,-0.60
685.00,-0.41,-0.40,-0.38
686.00,-0.24,-0.35,-0.53
687.00,-0.46,-0.41,-0.52
688.00,-0.27,-0.24,-0.36
689.00,-0.53,-0.31,-0.28
690.00,-0.30,-0.32,-0.22
691.00,-0.26,-0.45,-0.36
692.00,-0.26,-0.28,-0.43
693.00,-0.14,-0.46,-0.48
694.00,-0.16,-0.30,-0.28
695.00,-0.30,-0.38,-0.25
696.00,0.00,-0.34,0.03
697.00,-0.16,-0.33,0.09
698.00,0.13,-0.17,-0.11
699.00,0.03,-0.18,-0.15
700.00,0.00,0.00,0.00
