Temperature (C),HRR (W/g),HRR correction,R1,HRR (W/g),HRR correction,R2,HRR (W/g),HRR correction,R3
189.00,3.95,4.41,-0.46,5.42,4.98,0.44,4.29,3.67,0.62
190.00,4.16,4.39,-0.23,5.48,4.98,0.50,4.40,3.66,0.74
191.00,4.06,4.37,-0.31,5.58,4.98,0.60,4.37,3.65,0.72
192.00,4.41,4.35,0.06,5.61,4.98,0.63,4.43,3.65,0.78
193.00,4.12,4.33,-0.21,5.30,4.98,0.31,4.49,3.64,0.85
194.00,4.33,4.30,0.03,5.50,4.98,0.52,4.58,3.63,0.94
195.00,3.92,4.28,-0.37,5.58,4.98,0.60,4.62,3.63,0.99
196.00,4.19,4.26,-0.07,5.67,4.98,0.69,4.49,3.62,0.87
197.00,4.32,4.24,0.08,5.89,4.98,0.90,4.34,3.61,0.72
198.00,4.25,4.22,0.03,5.87,4.99,0.89,4.59,3.60,0.98
199.00,4.51,4.20,0.32,6.11,4.99,1.12,4.40,3.60,0.81
200.00,4.67,4.17,0.50,6.27,4.99,1.28,4.47,3.59,0.88
201.00,4.75,4.15,0.60,5.92,4.99,0.93,4.67,3.58,1.09
202.00,4.73,4.13,0.60,6.03,4.99,1.04,4.71,3.58,1.13
203.00,4.51,4.11,0.40,6.21,4.99,1.22,4.86,3.57,1.30
204.00,4.61,4.09,0.53,6.16,4.99,1.17,4.92,3.56,1.35
205.00,4.34,4.07,0.28,6.38,4.99,1.39,5.21,3.55,1.65
206.00,4.49,4.04,0.44,6.40,4.99,1.41,5.30,3.55,1.76
207.00,4.74,4.02,0.71,6.70,4.99,1.70,5.39,3.54,1.85
208.00,4.72,4.00,0.72,6.37,4.99,1.37,5.51,3.53,1.98
209.00,5.07,3.98,1.09,6.89,4.99,1.90,5.76,3.53,2.23
210.00,5.01,3.96,1.05,6.72,5.00,1.72,5.90,3.52,2.38
211.00,5.22,3.94,1.29,7.07,5.00,2.07,6.08,3.51,2.57
212.00,5.25,3.91,1.34,6.95,5.00,1.95,6.23,3.50,2.73
213.00,5.31,3.89,1.41,7.20,5.00,2.20,6.33,3.50,2.83
214.00,5.35,3.87,1.47,7.13,5.00,2.13,6.41,3.49,2.92
215.00,5.38,3.85,1.53,7.12,5.00,2.12,6.45,3.48,2.96
216.00,5.39,3.83,1.57,7.14,5.00,2.14,6.45,3.48,2.97
217.00,5.37,3.81,1.56,7.17,5.00,2.17,6.54,3.47,3.07
218.00,5.26,3.79,1.48,7.10,5.00,2.10,6.46,3.46,3.00
219.00,5.23,3.76,1.47,7.39,5.00,2.39,6.63,3.45,3.17
220.00,5.65,3.74,1.91,7.54,5.00,2.53,6.64,3.45,3.19
221.00,5.91,3.72,2.19,7.42,5.00,2.42,6.74,3.44,3.30
222.00,6.37,3.70,2.67,7.64,5.00,2.64,6.92,3.43,3.48
223.00,6.25,3.68,2.57,7.68,5.01,2.67,7.07,3.43,3.65
224.00,6.39,3.66,2.74,7.71,5.01,2.71,7.18,3.42,3.76
225.00,6.53,3.63,2.90,7.80,5.01,2.79,7.34,3.41,3.93
226.00,6.48,3.61,2.87,8.09,5.01,3.08,7.40,3.40,4.00
227.00,6.67,3.59,3.08,8.16,5.01,3.15,7.53,3.40,4.13
228.00,6.72,3.57,3.15,8.13,5.01,3.12,7.72,3.39,4.33
229.00,6.71,3.55,3.16,8.47,5.01,3.46,7.99,3.38,4.61
230.00,6.64,3.53,3.12,8.36,5.01,3.35,8.02,3.38,4.64
231.00,6.98,3.50,3.47,8.59,5.01,3.58,8.16,3.37,4.79
232.00,7.27,3.48,3.79,8.83,5.01,3.82,8.18,3.36,4.82
233.00,7.36,3.46,3.90,8.94,5.01,3.93,8.34,3.35,4.98
234.00,7.39,3.44,3.95,9.04,5.01,4.03,8.50,3.35,5.15
235.00,7.49,3.42,4.07,9.56,5.01,4.54,8.67,3.34,5.33
236.00,7.91,3.40,4.51,10.07,5.02,5.06,8.99,3.33,5.66
237.00,7.82,3.37,4.45,9.65,5.02,4.63,9.25,3.33,5.93
238.00,7.88,3.35,4.53,9.98,5.02,4.96,9.15,3.32,5.83
239.00,8.04,3.33,4.71,10.22,5.02,5.20,9.48,3.31,6.16
240.00,8.44,3.31,5.13,10.72,5.02,5.70,9.77,3.30,6.47
241.00,8.58,3.29,5.30,11.07,5.02,6.05,10.07,3.30,6.77
242.00,8.73,3.27,5.46,11.01,5.02,5.99,10.40,3.29,7.11
243.00,8.61,3.24,5.37,11.28,5.02,6.26,10.50,3.28,7.22
244.00,8.92,3.22,5.69,11.68,5.02,6.66,10.52,3.28,7.24
245.00,9.33,3.20,6.13,11.57,5.02,6.54,10.84,3.27,7.57
246.00,9.52,3.18,6.34,11.91,5.02,6.89,11.15,3.26,7.89
247.00,9.47,3.16,6.32,12.25,5.02,7.22,11.37,3.25,8.12
248.00,9.50,3.14,6.36,12.33,5.03,7.30,11.56,3.25,8.32
249.00,9.67,3.11,6.55,12.71,5.03,7.68,11.87,3.24,8.63
250.00,10.05,3.09,6.96,12.94,5.03,7.92,12.16,3.23,8.92
251.00,10.32,3.07,7.25,13.35,5.03,8.32,12.50,3.23,9.28
252.00,10.24,3.05,7.19,13.62,5.03,8.59,12.71,3.22,9.50
253.00,10.39,3.03,7.36,13.85,5.03,8.82,13.13,3.21,9.92
254.00,10.78,3.01,7.77,14.11,5.03,9.08,13.62,3.20,10.41
255.00,11.21,2.99,8.23,14.63,5.03,9.60,13.76,3.20,10.56
256.00,11.89,2.96,8.93,14.65,5.03,9.62,13.96,3.19,10.77
257.00,12.21,2.94,9.27,15.34,5.03,10.31,14.48,3.18,11.30
258.00,12.56,2.92,9.64,15.49,5.03,10.46,14.68,3.18,11.51
259.00,12.76,2.90,9.86,16.01,5.03,10.97,15.28,3.17,12.11
260.00,13.10,2.88,10.22,16.35,5.03,11.32,15.59,3.16,12.43
261.00,13.58,2.86,10.72,16.55,5.04,11.51,16.11,3.15,12.96
262.00,13.86,2.83,11.03,16.81,5.04,11.77,16.52,3.15,13.38
263.00,14.55,2.81,11.74,17.53,5.04,12.49,17.00,3.14,13.86
264.00,15.07,2.79,12.28,17.97,5.04,12.93,17.33,3.13,14.20
265.00,15.42,2.77,12.65,18.66,5.04,13.62,17.85,3.13,14.73
266.00,15.46,2.75,12.71,18.90,5.04,13.86,18.46,3.12,15.34
267.00,15.99,2.73,13.27,19.44,5.04,14.40,18.84,3.11,15.72
268.00,16.93,2.70,14.22,19.82,5.04,14.78,19.28,3.10,16.18
269.00,17.21,2.68,14.53,20.38,5.04,15.34,19.71,3.10,16.61
270.00,17.62,2.66,14.96,20.81,5.04,15.77,20.07,3.09,16.98
271.00,18.08,2.64,15.44,21.27,5.04,16.23,20.75,3.08,17.67
272.00,18.64,2.62,16.02,21.74,5.04,16.70,21.11,3.08,18.04
273.00,18.94,2.60,16.34,22.16,5.04,17.12,21.80,3.07,18.73
274.00,19.39,2.57,16.82,22.90,5.05,17.86,22.31,3.06,19.25
275.00,19.89,2.55,17.33,23.46,5.05,18.42,22.74,3.05,19.69
276.00,20.49,2.53,17.96,23.74,5.05,18.69,23.44,3.05,20.39
277.00,20.89,2.51,18.38,24.27,5.05,19.22,23.99,3.04,20.95
278.00,21.22,2.49,18.74,24.82,5.05,19.77,24.35,3.03,21.32
279.00,21.35,2.47,18.88,25.28,5.05,20.23,24.75,3.03,21.73
280.00,22.25,2.44,19.81,26.10,5.05,21.05,25.30,3.02,22.29
281.00,22.55,2.42,20.13,26.41,5.05,21.36,25.65,3.01,22.64
282.00,22.89,2.40,20.49,26.87,5.05,21.82,26.23,3.00,23.23
283.00,23.50,2.38,21.12,27.12,5.05,22.07,26.65,3.00,23.65
284.00,24.19,2.36,21.83,27.82,5.05,22.77,27.02,2.99,24.03
285.00,24.25,2.34,21.91,28.25,5.05,23.20,27.41,2.98,24.43
286.00,24.55,2.31,22.24,28.72,5.06,23.66,27.84,2.98,24.87
287.00,25.07,2.29,22.77,29.12,5.06,24.06,28.37,2.97,25.41
288.00,25.47,2.27,23.19,29.59,5.06,24.54,28.64,2.96,25.67
289.00,25.97,2.25,23.72,30.16,5.06,25.10,29.13,2.95,26.17
290.00,26.23,2.23,24.00,30.47,5.06,25.41,29.51,2.95,26.56
291.00,26.54,2.21,24.33,30.95,5.06,25.89,29.87,2.94,26.93
292.00,27.18,2.19,24.99,31.43,5.06,26.37,30.66,2.93,27.72
293.00,27.51,2.16,25.35,31.83,5.06,26.77,31.04,2.93,28.11
294.00,28.10,2.14,25.96,32.31,5.06,27.25,31.38,2.92,28.46
295.00,28.51,2.12,26.39,32.70,5.06,27.64,31.98,2.91,29.06
296.00,29.36,2.10,27.26,33.06,5.06,28.00,32.63,2.90,29.73
297.00,29.50,2.08,27.42,33.45,5.06,28.38,32.98,2.90,30.09
298.00,29.61,2.06,27.56,33.97,5.06,28.91,33.46,2.89,30.57
299.00,30.01,2.03,27.98,34.42,5.07,29.36,34.24,2.88,31.36
300.00,30.49,2.01,28.48,34.77,5.07,29.70,34.58,2.88,31.70
301.00,30.67,1.99,28.68,35.27,5.07,30.20,34.75,2.87,31.88
302.00,31.71,1.97,29.74,35.94,5.07,30.87,35.32,2.86,32.46
303.00,32.00,1.95,30.05,36.49,5.07,31.42,35.88,2.85,33.02
304.00,32.72,1.93,30.79,37.05,5.07,31.98,36.37,2.85,33.52
305.00,33.28,1.90,31.38,37.58,5.07,32.51,36.99,2.84,34.15
306.00,33.48,1.88,31.60,38.11,5.07,33.04,37.58,2.83,34.75
307.00,34.02,1.86,32.16,38.43,5.07,33.36,38.02,2.83,35.19
308.00,34.77,1.84,32.93,38.82,5.07,33.75,38.44,2.82,35.62
309.00,35.30,1.82,33.48,39.87,5.07,34.79,38.89,2.81,36.08
310.00,35.88,1.80,34.08,40.42,5.07,35.35,39.47,2.80,36.67
311.00,36.71,1.77,34.94,40.95,5.07,35.87,40.19,2.80,37.39
312.00,36.79,1.75,35.04,41.36,5.08,36.28,40.83,2.79,38.04
313.00,37.61,1.73,35.88,41.84,5.08,36.77,41.36,2.78,38.58
314.00,38.18,1.71,36.47,42.36,5.08,37.28,42.00,2.78,39.22
315.00,38.77,1.69,37.08,43.22,5.08,38.14,42.45,2.77,39.68
316.00,39.49,1.67,37.82,43.56,5.08,38.49,43.09,2.76,40.33
317.00,39.80,1.64,38.15,44.25,5.08,39.17,43.77,2.75,41.01
318.00,40.47,1.62,38.85,44.65,5.08,39.57,44.33,2.75,41.58
319.00,40.89,1.60,39.29,45.17,5.08,40.09,45.10,2.74,42.36
320.00,41.67,1.58,40.09,45.99,5.08,40.90,45.61,2.73,42.88
321.00,42.10,1.56,40.54,46.98,5.08,41.90,46.41,2.73,43.68
322.00,43.00,1.54,41.46,47.59,5.08,42.51,47.15,2.72,44.43
323.00,43.37,1.51,41.86,48.43,5.08,43.34,47.83,2.71,45.12
324.00,43.98,1.49,42.49,49.49,5.09,44.40,48.60,2.70,45.90
325.00,44.81,1.47,43.34,49.98,5.09,44.89,49.43,2.70,46.74
326.00,45.32,1.45,43.87,51.06,5.09,45.97,50.11,2.69,47.42
327.00,46.23,1.43,44.80,51.71,5.09,46.63,51.01,2.68,48.33
328.00,46.90,1.41,45.49,52.42,5.09,47.33,51.95,2.68,49.27
329.00,47.46,1.39,46.07,53.25,5.09,48.16,52.86,2.67,50.19
330.00,48.15,1.36,46.78,53.98,5.09,48.89,53.56,2.66,50.90
331.00,48.85,1.34,47.51,54.81,5.09,49.72,54.63,2.65,51.98
332.00,49.82,1.32,48.50,55.75,5.09,50.66,55.49,2.65,52.85
333.00,50.42,1.30,49.12,56.81,5.09,51.72,56.47,2.64,53.83
334.00,51.74,1.28,50.47,57.80,5.09,52.71,57.03,2.63,54.39
335.00,52.46,1.26,51.20,58.94,5.09,53.84,58.31,2.63,55.68
336.00,53.29,1.23,52.05,59.90,5.09,54.80,59.61,2.62,56.99
337.00,54.50,1.21,53.29,61.11,5.10,56.01,60.56,2.61,57.95
338.00,55.27,1.19,54.08,61.93,5.10,56.83,61.96,2.60,59.36
339.00,56.33,1.17,55.16,63.02,5.10,57.92,62.91,2.60,60.32
340.00,57.28,1.15,56.13,64.32,5.10,59.22,64.02,2.59,61.43
341.00,58.48,1.13,57.36,65.46,5.10,60.36,65.29,2.58,62.71
342.00,59.57,1.10,58.46,66.61,5.10,61.51,66.64,2.57,64.07
343.00,60.42,1.08,59.33,68.22,5.10,63.12,67.99,2.57,65.43
344.00,61.80,1.06,60.74,69.44,5.10,64.34,69.27,2.56,66.71
345.00,63.21,1.04,62.17,70.56,5.10,65.46,70.55,2.55,68.00
346.00,64.67,1.02,63.65,71.87,5.10,66.77,71.85,2.55,69.30
347.00,66.12,1.00,65.13,73.42,5.10,68.32,73.15,2.54,70.61
348.00,66.92,0.97,65.94,74.97,5.10,69.86,74.68,2.53,72.15
349.00,67.84,0.95,66.88,76.41,5.10,71.30,76.10,2.52,73.58
350.00,69.56,0.93,68.63,77.62,5.11,72.52,77.59,2.52,75.07
351.00,70.59,0.91,69.68,79.30,5.11,74.19,78.98,2.51,76.47
352.00,72.43,0.89,71.54,80.61,5.11,75.51,80.27,2.50,77.77
353.00,73.89,0.87,73.03,81.83,5.11,76.72,81.75,2.50,79.25
354.00,75.21,0.84,74.36,83.21,5.11,78.10,83.03,2.49,80.54
355.00,76.70,0.82,75.88,84.29,5.11,79.18,84.26,2.48,81.78
356.00,78.18,0.80,77.38,85.93,5.11,80.82,85.51,2.47,83.04
357.00,79.40,0.78,78.62,87.09,5.11,81.97,86.07,2.47,83.60
358.00,80.74,0.76,79.99,88.23,5.11,83.12,87.05,2.46,84.59
359.00,82.01,0.74,81.27,89.13,5.11,84.02,88.03,2.45,85.58
360.00,83.19,0.71,82.47,89.59,5.11,84.47,88.79,2.45,86.35
361.00,84.18,0.69,83.48,90.69,5.11,85.57,89.24,2.44,86.80
362.00,85.15,0.67,84.47,91.03,5.12,85.92,89.38,2.43,86.95
363.00,85.97,0.65,85.32,91.58,5.12,86.47,89.34,2.42,86.92
364.00,86.46,0.63,85.84,91.81,5.12,86.70,89.34,2.42,86.93
365.00,86.80,0.61,86.19,91.61,5.12,86.49,88.76,2.41,86.35
366.00,87.27,0.59,86.69,91.37,5.12,86.25,87.94,2.40,85.53
367.00,86.59,0.56,86.02,90.72,5.12,85.60,86.90,2.40,84.51
368.00,86.75,0.54,86.21,89.55,5.12,84.43,85.62,2.39,83.23
369.00,86.57,0.52,86.05,87.91,5.12,82.79,83.73,2.38,81.35
370.00,85.46,0.50,84.96,86.23,5.12,81.11,81.51,2.37,79.14
371.00,83.99,0.48,83.51,83.96,5.12,78.83,78.76,2.37,76.39
372.00,82.72,0.46,82.26,81.28,5.12,76.16,75.88,2.36,73.52
373.00,80.66,0.43,80.23,78.15,5.12,73.03,72.73,2.35,70.37
374.00,78.10,0.41,77.69,74.79,5.12,69.66,68.90,2.35,66.56
375.00,75.38,0.39,74.99,70.91,5.13,65.79,65.99,2.34,63.65
376.00,71.90,0.37,71.53,67.82,5.13,62.69,61.81,2.33,59.48
377.00,68.39,0.35,68.04,63.93,5.13,58.81,57.51,2.32,55.19
378.00,64.42,0.33,64.09,59.73,5.13,54.60,53.19,2.32,50.88
379.00,60.05,0.30,59.75,55.34,5.13,50.21,48.90,2.31,46.59
380.00,55.79,0.28,55.50,50.76,5.13,45.63,44.71,2.30,42.41
381.00,51.01,0.26,50.75,46.45,5.13,41.32,40.57,2.30,38.28
382.00,46.23,0.24,45.99,42.22,5.13,37.09,36.53,2.29,34.24
383.00,42.73,0.22,42.51,37.98,5.13,32.85,33.04,2.28,30.76
384.00,38.54,0.20,38.35,34.36,5.13,29.23,29.51,2.27,27.24
385.00,34.01,0.17,33.84,30.89,5.13,25.76,27.31,2.27,25.04
386.00,30.29,0.15,30.14,28.06,5.13,22.93,24.53,2.26,22.27
387.00,26.65,0.13,26.52,25.23,5.13,20.10,22.19,2.25,19.94
388.00,23.20,0.11,23.09,23.08,5.14,17.94,20.24,2.25,18.00
389.00,20.41,0.09,20.32,20.96,5.14,15.83,18.61,2.24,16.37
390.00,18.38,0.07,18.31,19.96,5.14,14.83,17.52,2.23,15.29
391.00,16.49,0.04,16.44,18.67,5.14,13.53,16.56,2.22,14.33
392.00,15.01,0.02,14.99,17.39,5.14,12.25,15.59,2.22,13.37
393.00,13.35,0.00,13.35,16.59,5.14,11.45,14.97,2.21,12.76
394.00,12.59,-0.02,12.61,15.86,5.14,10.72,14.50,2.20,12.30
395.00,11.57,-0.04,11.61,15.44,5.14,10.30,13.66,2.20,11.47
396.00,10.91,-0.06,10.97,14.95,5.14,9.81,13.44,2.19,11.26
397.00,10.33,-0.09,10.41,14.30,5.14,9.16,13.20,2.18,11.01
398.00,9.93,-0.11,10.03,14.16,5.14,9.02,12.95,2.17,10.77
399.00,9.32,-0.13,9.45,13.68,5.14,8.54,12.72,2.17,10.55
400.00,9.14,-0.15,9.29,13.52,5.15,8.37,12.32,2.16,10.16
401.00,8.79,-0.17,8.96,13.15,5.15,8.00,12.09,2.15,9.94
402.00,8.56,-0.19,8.75,12.99,5.15,7.84,11.69,2.15,9.54
403.00,8.63,-0.21,8.84,13.04,5.15,7.89,11.45,2.14,9.31
404.00,8.73,-0.24,8.97,12.95,5.15,7.80,11.28,2.13,9.15
405.00,7.93,-0.26,8.19,12.93,5.15,7.79,11.15,2.12,9.03
406.00,7.90,-0.28,8.18,12.83,5.15,7.68,10.91,2.12,8.80
407.00,7.51,-0.30,7.81,12.81,5.15,7.66,10.91,2.11,8.80
408.00,7.52,-0.32,7.84,12.58,5.15,7.42,10.72,2.10,8.61
409.00,7.36,-0.34,7.70,12.51,5.15,7.36,10.81,2.10,8.71
410.00,6.80,-0.37,7.17,12.67,5.15,7.52,10.56,2.09,8.47
411.00,7.00,-0.39,7.38,12.35,5.15,7.20,10.28,2.08,8.20
412.00,7.13,-0.41,7.54,11.96,5.15,6.81,10.13,2.07,8.05
413.00,6.82,-0.43,7.25,12.30,5.16,7.14,10.23,2.07,8.16
414.00,6.53,-0.45,6.98,12.44,5.16,7.28,10.09,2.06,8.03
415.00,6.76,-0.47,7.23,12.04,5.16,6.88,10.16,2.05,8.11
416.00,6.72,-0.50,7.21,12.16,5.16,7.00,9.98,2.05,7.93
417.00,6.58,-0.52,7.10,12.02,5.16,6.86,9.91,2.04,7.87
418.00,6.60,-0.54,7.13,12.00,5.16,6.84,9.93,2.03,7.90
419.00,5.74,-0.56,6.30,11.81,5.16,6.65,9.69,2.02,7.67
420.00,6.43,-0.58,7.02,11.89,5.16,6.73,9.74,2.02,7.72
421.00,5.86,-0.60,6.46,11.71,5.16,6.55,9.54,2.01,7.53
422.00,6.08,-0.63,6.71,11.46,5.16,6.30,9.51,2.00,7.51
423.00,6.00,-0.65,6.64,11.52,5.16,6.36,9.42,2.00,7.42
424.00,5.89,-0.67,6.56,11.51,5.16,6.34,9.35,1.99,7.36
425.00,5.49,-0.69,6.18,11.57,5.16,6.41,9.29,1.98,7.30
426.00,5.55,-0.71,6.27,11.08,5.17,5.91,9.33,1.97,7.36
427.00,5.19,-0.73,5.93,11.34,5.17,6.18,9.01,1.97,7.04
428.00,5.73,-0.76,6.48,11.04,5.17,5.87,9.09,1.96,7.13
429.00,5.36,-0.78,6.14,10.93,5.17,5.77,9.06,1.95,7.10
430.00,5.02,-0.80,5.82,10.87,5.17,5.71,9.07,1.95,7.13
431.00,4.89,-0.82,5.71,11.03,5.17,5.87,8.82,1.94,6.88
432.00,4.30,-0.84,5.14,10.94,5.17,5.77,8.57,1.93,6.64
433.00,4.34,-0.86,5.20,10.74,5.17,5.56,8.41,1.92,6.48
434.00,4.11,-0.89,5.00,10.94,5.17,5.76,8.31,1.92,6.40
435.00,3.91,-0.91,4.81,10.60,5.17,5.43,8.26,1.91,6.35
436.00,3.68,-0.93,4.61,10.51,5.17,5.34,8.03,1.90,6.13
437.00,3.77,-0.95,4.72,10.47,5.17,5.29,7.89,1.90,5.99
438.00,3.74,-0.97,4.71,10.49,5.17,5.31,7.80,1.89,5.91
439.00,3.54,-0.99,4.53,10.54,5.18,5.36,7.72,1.88,5.84
440.00,3.82,-1.01,4.84,10.54,5.18,5.36,7.79,1.87,5.92
441.00,3.63,-1.04,4.67,10.31,5.18,5.13,7.65,1.87,5.78
442.00,3.40,-1.06,4.46,10.03,5.18,4.85,7.56,1.86,5.71
443.00,3.30,-1.08,4.38,9.75,5.18,4.57,7.54,1.85,5.69
444.00,2.95,-1.10,4.05,9.89,5.18,4.71,7.47,1.85,5.62
445.00,3.17,-1.12,4.29,9.72,5.18,4.54,7.54,1.84,5.70
446.00,3.25,-1.14,4.39,9.66,5.18,4.47,7.43,1.83,5.60
447.00,3.31,-1.17,4.47,9.49,5.18,4.31,7.42,1.82,5.60
448.00,2.57,-1.19,3.76,9.41,5.18,4.22,7.15,1.82,5.33
449.00,2.66,-1.21,3.87,9.27,5.18,4.09,7.06,1.81,5.25
450.00,2.48,-1.23,3.71,9.29,5.18,4.11,6.98,1.80,5.18
451.00,2.81,-1.25,4.07,9.56,5.19,4.38,6.94,1.80,5.14
452.00,2.78,-1.27,4.06,9.11,5.19,3.93,7.09,1.79,5.30
453.00,2.43,-1.30,3.73,8.98,5.19,3.80,6.94,1.78,5.16
454.00,2.41,-1.32,3.73,9.05,5.19,3.86,6.80,1.77,5.02
455.00,2.31,-1.34,3.65,8.84,5.19,3.65,6.85,1.77,5.08
456.00,2.10,-1.36,3.46,8.92,5.19,3.73,6.63,1.76,4.87
457.00,2.06,-1.38,3.44,8.79,5.19,3.60,6.38,1.75,4.63
458.00,1.86,-1.40,3.26,8.71,5.19,3.52,6.54,1.75,4.80
459.00,2.27,-1.43,3.70,8.93,5.19,3.73,6.28,1.74,4.55
460.00,2.02,-1.45,3.47,8.47,5.19,3.28,6.15,1.73,4.42
461.00,1.72,-1.47,3.19,8.60,5.19,3.40,6.14,1.72,4.42
462.00,2.02,-1.49,3.51,8.64,5.19,3.44,6.19,1.72,4.47
463.00,1.81,-1.51,3.32,8.60,5.19,3.40,6.16,1.71,4.45
464.00,1.78,-1.53,3.31,8.28,5.20,3.09,6.14,1.70,4.44
465.00,1.62,-1.56,3.17,8.29,5.20,3.10,5.99,1.70,4.30
466.00,1.80,-1.58,3.38,8.17,5.20,2.97,5.87,1.69,4.18
467.00,1.62,-1.60,3.22,7.95,5.20,2.75,5.90,1.68,4.22
468.00,1.42,-1.62,3.04,8.20,5.20,3.00,5.90,1.67,4.23
469.00,1.63,-1.64,3.27,8.21,5.20,3.01,5.75,1.67,4.08
470.00,1.61,-1.66,3.28,8.26,5.20,3.06,5.66,1.66,4.00
471.00,1.07,-1.69,2.75,8.36,5.20,3.16,5.64,1.65,3.98
472.00,0.99,-1.71,2.69,8.50,5.20,3.30,5.33,1.65,3.69
473.00,1.22,-1.73,2.95,8.22,5.20,3.01,5.26,1.64,3.62
474.00,1.05,-1.75,2.80,8.16,5.20,2.95,5.21,1.63,3.58
475.00,1.05,-1.77,2.83,8.08,5.20,2.88,5.33,1.62,3.70
476.00,0.66,-1.79,2.45,8.14,5.20,2.93,5.14,1.62,3.53
477.00,0.66,-1.81,2.48,8.29,5.21,3.08,5.32,1.61,3.71
478.00,0.97,-1.84,2.80,7.98,5.21,2.78,5.08,1.60,3.48
479.00,0.68,-1.86,2.54,7.27,5.21,2.06,5.16,1.60,3.56
480.00,0.74,-1.88,2.62,7.73,5.21,2.52,5.14,1.59,3.55
481.00,0.61,-1.90,2.51,7.62,5.21,2.41,5.17,1.58,3.59
482.00,0.28,-1.92,2.20,7.52,5.21,2.31,5.10,1.57,3.52
483.00,0.28,-1.94,2.23,7.41,5.21,2.20,5.13,1.57,3.56
484.00,0.05,-1.97,2.01,7.45,5.21,2.24,5.11,1.56,3.55
485.00,-0.03,-1.99,1.96,7.38,5.21,2.16,4.97,1.55,3.42
486.00,0.29,-2.01,2.29,7.64,5.21,2.43,4.87,1.55,3.33
487.00,0.18,-2.03,2.21,7.37,5.21,2.16,4.89,1.54,3.36
488.00,-0.01,-2.05,2.04,7.48,5.21,2.27,4.83,1.53,3.30
489.00,0.26,-2.07,2.34,6.81,5.22,1.60,4.89,1.52,3.37
490.00,0.09,-2.10,2.18,7.51,5.22,2.29,4.75,1.52,3.23
491.00,-0.23,-2.12,1.89,7.04,5.22,1.82,4.87,1.51,3.36
